Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,location
DL Chahar,3,0,14,1,4.66,12,2,0,0,0,"Wankhede Stadium, Mumbai"
SR Watson,4,0,29,2,7.25,12,1,2,1,0,"Wankhede Stadium, Mumbai"
Harbhajan Singh,2,0,14,0,7.0,3,1,0,0,0,"Wankhede Stadium, Mumbai"
RA Jadeja,1,0,9,0,9.0,3,2,0,0,0,"Wankhede Stadium, Mumbai"
MA Wood,4,0,49,0,12.25,6,6,2,1,0,"Wankhede Stadium, Mumbai"
Imran Tahir,2,0,23,1,11.5,4,3,1,0,0,"Wankhede Stadium, Mumbai"
DJ Bravo,4,0,25,0,6.25,9,3,0,0,0,"Wankhede Stadium, Mumbai"
MJ McClenaghan,4.0,0,44,1,11.0,5,4,2,1,0,"Wankhede Stadium, Mumbai"
Mustafizur Rahman,3.5,0,39,1,10.17,8,6,1,0,0,"Wankhede Stadium, Mumbai"
JJ Bumrah,4.0,0,37,1,9.25,10,0,4,0,1,"Wankhede Stadium, Mumbai"
HH Pandya,4.0,0,24,3,6.0,12,1,1,3,0,"Wankhede Stadium, Mumbai"
M Markande,4.0,0,23,3,5.75,11,0,2,0,0,"Wankhede Stadium, Mumbai"
R Ashwin,4,0,23,1,5.75,4,0,0,1,0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
MM Sharma,4,0,33,2,8.25,5,2,1,0,0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
Mujeeb Ur Rahman,4,0,28,2,7.0,9,3,0,1,0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
AR Patel,3,0,35,1,11.66,3,3,2,0,0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
AJ Tye,4,0,38,0,9.5,7,3,2,1,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
MP Stoinis,1,0,7,0,7.0,0,0,0,0,0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
TA Boult,3.5,0,34,1,8.86,11,3,2,0,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
Mohammed Shami,2.0,0,26,0,13.0,3,4,1,0,0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
A Mishra,4.0,0,46,0,11.5,4,4,2,0,0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
CH Morris,3.0,0,25,1,8.33,8,3,1,0,0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
DT Christian,2.0,0,12,1,6.0,6,0,1,0,0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
R Tewatia,4.0,0,24,1,6.0,9,2,0,0,0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
R Vinay Kumar,2,0,30,2,15.0,6,3,3,0,0,"Eden Gardens, Kolkata"
PP Chawla,4,0,31,1,7.75,10,2,2,0,0,"Eden Gardens, Kolkata"
Kuldeep Yadav,3,0,33,0,11.0,4,1,2,1,0,"Eden Gardens, Kolkata"
SP Narine,4,0,30,1,7.5,9,3,1,0,0,"Eden Gardens, Kolkata"
