dates,Delhi,Kolkata,Mumbai,Chennai
04-30-2018,74.63,77.32,82.48,77.43
04-29-2018,74.63,77.32,82.48,77.43
04-28-2018,74.63,77.32,82.48,77.43
04-27-2018,74.63,77.32,82.48,77.43
04-26-2018,74.63,77.32,82.48,77.43
04-25-2018,74.63,77.32,82.48,77.43
04-24-2018,74.63,77.32,82.48,77.43
04-23-2018,74.50,77.20,82.35,77.29
04-22-2018,74.40,77.10,82.25,77.19
04-21-2018,74.21,76.91,82.06,76.99
04-20-2018,74.08,76.78,81.93,76.85
04-19-2018,74.07,76.77,81.92,76.84
04-18-2018,74.02,76.73,81.87,76.79
04-17-2018,74.02,76.73,81.87,76.79
04-16-2018,74.02,76.73,81.87,76.79
04-15-2018,73.98,76.69,81.83,76.75
04-14-2018,73.93,76.64,81.79,76.69
04-13-2018,73.91,76.62,81.77,76.67
04-12-2018,73.94,76.65,81.80,76.71
04-11-2018,73.98,76.69,81.83,76.75
04-10-2018,73.98,76.69,81.83,76.75
04-09-2018,73.99,76.70,81.84,76.76
04-08-2018,74.03,76.73,81.88,76.80
04-07-2018,74.00,76.71,81.85,76.77
04-06-2018,73.98,76.69,81.83,76.75
04-05-2018,73.98,76.69,81.83,76.75
04-04-2018,73.95,76.66,81.80,76.72
04-03-2018,73.95,76.66,81.80,76.72
04-02-2018,73.83,76.54,81.69,76.59
04-01-2018,73.73,76.44,81.59,76.48
03-31-2018,73.55,76.26,81.41,76.29
03-30-2018,73.31,76.03,81.17,76.04
03-29-2018,73.08,75.80,80.94,75.80
03-28-2018,72.90,75.63,80.77,75.61
03-27-2018,72.90,75.63,80.77,75.61
03-26-2018,72.79,75.52,80.66,75.49
03-25-2018,72.55,75.28,80.42,75.24
03-24-2018,72.38,75.11,80.25,75.06
03-23-2018,72.30,75.04,80.17,74.98
03-22-2018,72.26,75.00,80.13,74.94
03-21-2018,72.20,74.94,80.07,74.87
03-20-2018,72.20,74.94,80.07,74.87
03-19-2018,72.19,74.93,80.06,74.86
03-18-2018,72.20,74.94,80.07,74.87
03-17-2018,72.27,75.01,80.14,74.95
03-16-2018,72.37,75.10,80.24,75.05
03-15-2018,72.45,75.18,80.32,75.14
03-14-2018,72.47,75.20,80.34,75.16
03-13-2018,72.47,75.20,80.34,75.16
03-12-2018,72.45,75.18,80.32,75.14
03-11-2018,72.48,75.21,80.35,75.17
03-10-2018,72.46,75.19,80.33,75.15
03-09-2018,72.43,75.16,80.30,75.12
03-08-2018,72.39,75.12,80.26,75.07
03-07-2018,72.39,75.12,80.26,75.07
03-06-2018,72.39,75.12,80.26,75.07
03-05-2018,72.32,75.06,80.19,75.00
03-04-2018,72.26,75.00,80.13,74.94
03-03-2018,72.00,74.74,79.87,74.66
03-02-2018,71.75,74.50,79.63,74.40
03-01-2018,71.57,74.32,79.45,74.21
02-28-2018,71.51,74.26,79.39,74.15
02-27-2018,71.51,74.26,79.39,74.15
02-26-2018,71.53,74.28,79.41,74.17
02-25-2018,71.50,74.25,79.38,74.14
02-24-2018,71.52,74.27,79.40,74.16
02-23-2018,71.61,74.36,79.49,74.25
02-22-2018,71.70,74.45,79.58,74.35
02-21-2018,71.72,74.44,79.60,74.37
02-20-2018,71.73,74.45,79.61,74.38
02-19-2018,71.92,74.63,79.80,74.58
02-18-2018,72.07,74.78,79.94,74.74
02-17-2018,72.23,74.94,80.10,74.91
02-16-2018,72.52,75.22,80.39,75.21
02-15-2018,72.79,75.49,80.66,75.49
02-14-2018,72.94,75.64,80.81,75.65
02-13-2018,72.94,75.64,80.81,75.65
02-12-2018,73.01,75.70,80.87,75.73
02-11-2018,73.22,75.91,81.08,75.95
02-10-2018,73.33,76.02,81.19,76.06
02-09-2018,73.35,76.04,81.21,76.08
02-08-2018,73.37,76.06,81.23,76.11
02-07-2018,73.38,76.07,81.24,76.12
02-06-2018,73.38,76.07,81.24,76.12
02-05-2018,73.31,76.00,81.17,76.04
02-04-2018,73.16,75.85,81.02,75.88
02-03-2018,73.09,75.78,80.95,75.81
02-02-2018,73.10,75.79,80.96,75.82
02-01-2018,73.05,75.74,80.91,75.77
01-31-2018,72.92,75.62,80.79,75.63
01-30-2018,72.92,75.62,80.79,75.63
01-29-2018,72.84,75.54,80.71,75.55
01-28-2018,72.77,75.47,80.64,75.47
01-27-2018,72.72,75.42,80.59,75.42
01-26-2018,72.63,75.33,80.50,75.33
01-25-2018,72.49,75.19,80.36,75.18
